product_id,pizza_name,price,is_active,description_of_pizza,store_id
PZ99281A12,Margherita,499,TRUE,"Fresh mozzarella, San Marzano tomatoes, fresh basil, and EVOO.",3c32fe11
PZ88172B23,Double Pepperoni,649,FALSE,A double layer of crispy curled pepperoni with extra mozzarella.,3c32fe11
PZ77653C34,Garden Veggie,549,TRUE,"Broccoli, corn, red onions, and diced tomatoes.",3c32fe11
PZ11221D45,Meat Lovers,899,TRUE,"Pepperoni, Italian sausage, bacon, ham, and ground beef.",1c07dd73
PZ22332E56,Meatball Parm,749,FALSE,"Homemade meatballs, marinara, and extra mozzarella.",1c07dd73
PZ33443F67,Salami Sensation,799,TRUE,Three types of Italian salami with red pepper strips.,1c07dd73
PZ44554G78,Bacon Cheeseburger,725,TRUE,"Ground beef, bacon, cheddar, and pickles.",1c07dd73
PZ55665H89,Philly Cheesesteak,849,FALSE,"Shaved steak, onions, peppers, and cheese whiz.",1c07dd73
PZ66776I90,Pulled Pork,749,TRUE,"Slow-cooked pork, coleslaw topper, and BBQ sauce.",1c07dd73
PZ77887J01,Pastrami on Rye,799,TRUE,Pastrami with Swiss cheese and mustard on a dough base.,1c07dd73
PZ88998K12,The Works,949,TRUE,"Pepperoni, sausage, bell peppers, onions, and black olives.",1c07dd73
PZ99009L23,Inferno,699,FALSE,"Habaneros, spicy sausage, and Satan’s Breath chili oil.",160c9c26
PZ10110M34,Jalapeño Popper,599,TRUE,"Cream cheese base, jalapeños, bacon, and cheddar.",160c9c26
PZ21221N45,Peri-Peri Chicken,749,TRUE,Spicy bird’s eye chili chicken with flame-grilled peppers.,160c9c26
PZ32332O56,Spicy Paneer,649,FALSE,"Marinated paneer cubes, capsicum, and spicy red gravy.",160c9c26
PZ43443P67,Hot Honey Sopressata,899,TRUE,Spicy Italian salami drizzled with habanero honey.,160c9c26
PZ54554Q78,Garlic Butter Shrimp,999,TRUE,Shrimp sautéed in garlic and parsley.,6b2fe722
PZ65665R89,Clam Pie,1049,FALSE,"Fresh clams, garlic, oregano, and pecorino.",6b2fe722
PZ76776S90,Truffle Mushroom,949,TRUE,Shiitake and portobello mushrooms with truffle oil.,8fcce746
PZ87887T01,Spinach & Ricotta,699,TRUE,Sautéed spinach topped with dollops of creamy ricotta.,8fcce746
PZ98998U12,Quattro Formaggi,799,FALSE,A blend of Mozzarella Gorgonzola Parmesan and Fontina.,8fcce746
PZ09009V23,Pear & Gorgonzola,849,TRUE,"Sliced pears, blue cheese, and toasted walnuts.",8fcce746
PZ10120W34,Brie & Cranberry,899,TRUE,Melting brie cheese with tart cranberry sauce.,8fcce746
PZ21231X45,Camembert Special,949,FALSE,"Camembert slices, caramelized onions, and balsamic.",8fcce746
PZ32342Y56,Korean Bulgogi,999,TRUE,"Ribeye beef, kimchi, scallions, and gochujang sauce.",88fa832a
PZ43453Z67,Thai Chili,849,TRUE,"Sweet chili sauce, shrimp, scallions, and crushed peanuts.",88fa832a
PZ54564A78,Mexican Fiesta,799,FALSE,"Chorizo, corn, jalapeños, and fresh pico de gallo.",88fa832a
